Sample	g__Acinetobacter.s__Acinetobacter_johnsonii	g__Bosea.s__Bosea_vaviloviae	g__Brachybacterium.s__Brachybacterium_muris	g__Brevibacterium.s__Brevibacterium_casei	g__Brevundimonas.s__Brevundimonas_diminuta	g__Brevundimonas.s__Brevundimonas_naejangsanensis	g__Brevundimonas.s__Brevundimonas_subvibrioides	g__Brevundimonas.s__Brevundimonas_vesicularis	g__Corynebacterium.s__Corynebacterium_accolens	g__Corynebacterium.s__Corynebacterium_amycolatum	g__Corynebacterium.s__Corynebacterium_doosanense	g__Corynebacterium.s__Corynebacterium_lipophiloflavum	g__Corynebacterium.s__Corynebacterium_variabile	g__Cutibacterium.s__Cutibacterium_acnes	g__Cutibacterium.s__Propionibacterium_humerusii	g__Deinococcus.s__Deinococcus_wulumuqiensis	g__Dermacoccus.s__Dermacoccus_sp_PE3	g__Dietzia.s__Dietzia_timorensis	g__Enhydrobacter.s__Enhydrobacter_aerosaccus	g__Gordonia.s__Gordonia_terrae	g__Haematobacter.s__Haematobacter_massiliensis	g__Halomonas.s__Halomonas_hydrothermalis	g__Hyphomonas.s__Hyphomonas_neptunium	g__Janibacter.s__Janibacter_hoylei	g__Janibacter.s__Janibacter_indicus	g__Kocuria.s__Kocuria_palustris	g__Kocuria.s__Kocuria_rhizophila	g__Microbacterium.s__Microbacterium_aurum	g__Micrococcus.s__Micrococcus_aloeverae	g__Micrococcus.s__Micrococcus_luteus	g__Micrococcus.s__Micrococcus_terreus	g__Moraxella.s__Moraxella_osloensis	g__Mycolicibacterium.s__Mycolicibacterium_iranicum	g__Neisseria.s__Neisseria_flavescens	g__Neisseria.s__Neisseria_macacae	g__Neisseria.s__Neisseria_mucosa	g__Neisseria.s__Neisseria_sicca	g__Paracoccus.s__Paracoccus_sanguinis	g__Paracoccus.s__Paracoccus_sphaerophysae	g__Paracoccus.s__Paracoccus_yeei	g__Pseudoglutamicibacter.s__Pseudoglutamicibacter_albus	g__Pseudoglutamicibacter.s__Pseudoglutamicibacter_cumminsii	g__Pseudomonas.s__Pseudomonas_fragi	g__Pseudomonas.s__Pseudomonas_helleri	g__Pseudomonas.s__Pseudomonas_lundensis	g__Sphingobacterium.s__Sphingobacterium_lactis	g__Streptococcus.s__Streptococcus_mitis	g__Streptococcus.s__Streptococcus_oralis
LOR083C	0.00588886	0	0	0	0	0	0	0	0	0	0	0	0	0.00340451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR084C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0066578	0	0	0	0	2.97145e-4	0	0	0	0	0	0	0	0	0	0	0	0	5.74392e-4	0	0	0	0	0	0	0.00147537	0	0	0	0	0	0	0	0	0
LOR085C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00424457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00502045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR086C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR090C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018844	0	0	0	0	0	0	9.99209e-4	0	0	4.63503e-4	0.00173522	0	0	0	3.22153e-4	4.46354e-4	0	0	0	2.97e-5	0	8.21e-5	7.40497e-4	7.1108e-4	4.01663e-4	0	0	0	0	0	0	0	0	1.56878e-4
LOR098C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00661039	0.00168124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR103C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00323322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.49579e-4	0.0065586	0	0	0	0	0	0	0	0	0
LOR206C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00120036	0.00144203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR210C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00312136	0	0	0.00165023	0	1.77565e-4	0	0	0	0	0	0	0	0	0	4.72895e-4	8.46786e-4	0	5.62267e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR212C	0	0	0	0	0	0	0	0	0	0	0	0	4.3998e-4	0.00230651	0	0	0	0.00120328	0	5.22922e-4	0	0	0	1.51316e-4	3.9039e-4	0	0	0	0	0	0	0	1.30794e-4	0	0	0	0	3.18227e-4	4.88721e-4	0	0	0	0	0	0	0	0	0
LOR215C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00984481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR221C	0	0	0	0	0	0	0	0	0.00288898	0	0	0	0	0.00542018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.66262e-4	6.94877e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR222C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016689	0	0	0	0	9.31524e-4	0	0	0	0	0	0	0	0	0	0.00103491	6.85429e-4	0	0.00329031	0	0	0	0	0	2.19271e-4	7.8051e-4	0	0	0	0	0	0	0	0	0
LOR225C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00315611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.01113e-4	0.00130583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR241C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00373532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR242C	0	0	0	3.89439e-4	0	0	0	0	0	0	3.78169e-4	9.50807e-4	0	5.73034e-4	0	0	0	0	0	0	0	0	0	0	0	3.09068e-4	2.07806e-4	0	2.88647e-4	5.88119e-4	0.00143167	0	0	0	0	0	0	0	0	0	0	0	2.7544e-4	3.67e-5	1.73975e-4	0	0	0
LOR243C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00202422	0	0	0	0	3.23666e-4	0	0	0	0	0	0	0	0	0	0.00173091	0.0020809	0	0.00100215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR260C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00576549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00596684	0	0	0	0	0	0	0	0	0
LOR272C	0	0	0	0	0	0	0	0.0015967	0	0	0	9.04151e-4	0	0.00264691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103507	0.00191264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR275C	0	0	0	0	0	0	0	0	0	0	0	0.00780826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51106e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR281C	0	0	0	0	0	0	0	0.00243985	0	0	0	0	0	0	0	0	0	0	8.82708e-4	0	0	0	0	0	0	0	0	0	0	0	0	9.30411e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00374e-4	0	0
LOR282C	0	0	5.30399e-4	0	0	0	0	0	0	0	0	2.03719e-4	0	0.0032428	0	0	0	0	0	0	0	0	0	0	0.00195512	0	0	0	0.00263498	0.00453142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR284C	0	0.00155358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00465109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR289C	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOR295C	0	0	0	0	0	0	0	0	0	1.27978e-4	0	0	0	0.00184813	0	9.23845e-4	0	0	1.71149e-4	0	0	2.0765e-4	0	3.29266e-4	4.46068e-4	0	0	1.51705e-4	3.16182e-4	4.99807e-4	0	1.22503e-4	0	6.01e-6	5.21e-5	0	6.77e-5	1.14924e-4	0.00210327	0	0	0	0	0	0	0	0	0
