Sample	LOR002C	LOR003C	LOR005C	LOR006C	LOR007C	LOR008C	LOR011C	LOR012C	LOR013C	LOR014C	LOR015C	LOR016C	LOR017C	LOR018C	LOR019C	LOR020C	LOR021C	LOR022C	LOR023C	LOR024C	LOR025C	LOR026C	LOR027C	LOR028C	LOR029C	LOR030C	LOR033C	LOR034C	LOR036C	LOR037C	LOR042C	LOR046C	LOR051C	LOR054C	LOR055C	LOR058C	LOR060C	LOR061C	LOR062C	LOR063C	LOR065C	LOR070C	LOR072C	LOR074C	LOR076C	LOR078C	LOR081C	LOR082C	LOR083C	LOR084C	LOR085C	LOR086C	LOR090C	LOR091C	LOR098C	LOR101C	LOR102C	LOR103C	LOR202C	LOR203C	LOR204C	LOR206C	LOR207C	LOR208C	LOR210C	LOR211C	LOR212C	LOR214C	LOR215C	LOR216C	LOR217C	LOR218C	LOR219C	LOR220C	LOR221C	LOR222C	LOR223C	LOR224C	LOR225C	LOR226C	LOR227C	LOR228C	LOR229C	LOR230C	LOR231C	LOR233C	LOR234C	LOR235C	LOR237C	LOR238C	LOR239C	LOR240C	LOR241C	LOR242C	LOR243C	LOR246C	LOR248C	LOR249C	LOR254C	LOR258C	LOR259C	LOR260C	LOR262C	LOR264C	LOR269C	LOR270C	LOR272C	LOR274C	LOR275C	LOR279C	LOR281C	LOR282C	LOR283C	LOR284C	LOR287C	LOR288C	LOR289C	LOR294C	LOR295C	LOR300C	LOR301C	LOR303C
Pannonibacter_phragmitetus	0.1092013	0.0450647	0.00551	0.0498499	0	0	0.0393061	0.015299	0.0221934	0.00238	0.0246369	0.039475	0.00723	0.0490699	0.0575769	0.0449388	0.00615	0.1128173	0.0128564	0.00933	0.0196309	0.00271	0.0379548	0.0553756	0.0343151	0.0129887	0.046921	0.0393219	0.045402	0.1898748	0.0414117	0	0.0638415	0.0809461	0.0047	0.1215728	0.0131464	0.0140238	0.0143919	0.0091	0.019115	0.0616864	0.0103028	0.1177382	0.0639319	0.00983	0.1029063	0.0273306	0.0152886	0.0604998	0.0280146	0.0431313	0.1320392	0.0180289	0.0163032	0.00209	0.0133035	0.1138868	0.0022	0.00217	0.00221	0.0308889	0.0251644	0.0166926	0.00498	0.0555668	0.039161	0.0033	0.007	0.0156295	0.00104	0.00619	0.00371	0.0101248	0.0176762	0.0423646	0.0113201	0.00114	0.011948	0.011883	0.00109	0.00323	0.00338	0.0166316	0	0.00172	0.0261522	0.00261	0.0100867	0.0118064	0.00456	0.00744	0.0100946	0.0230852	0.048346	0	0	0.00103	0	0.0156723	0.00128	0.0708358	0.033197	0.0063	0.0022	0	0.1115339	0.0371756	0.013265	0.00265	0.1037443	0.00892	0	0.1781588	0.00531	0.0013	0.00796	0.0100117	0.0475006	0.00651	0	0.0043
Staphylococcus_capitis	0.253347	0.0436991	0.0165224	0	0.00239	0.0376648	0.0180596	0.020763	0.0307293	0.00714	0.00428	0.00282	0.0101209	0.00892	0.00111	0.0430663	0.00205	0.0548417	0.00514	0.055991	0.0130873	0.2650941	0.00542	0.00168	0.00858	0.0313894	0.00647	0.00449	0.00825	0.00853	0.0184052	0.0221631	0.0044	0.00105	0.00352	0	0.0175285	0.00255	0.00959	0.0254768	0.0127433	0.0106356	0.00258	0.00155	0.0117426	0.4462443	0	0.0104117	0.0244618	0.00155	0.006	0.0215657	0.012642	0.00644	0.0978194	0.00836	0.00665	0.0049	0.0033	0.00108	0.00111	0.00182	0.0603946	0	0.00124	0	0.00115	0.0775411	0.3604928	0.0420794	0.00104	0.00495	0.00248	0.00337	0.0117841	0.00652	0.00283	0.00229	0.00683	0.00972	0.0218651	0	0.00675	0.00924	0.00523	0.0567312	0.0100585	0.0234766	0.0226952	0.00295	0.00456	0.00248	1.4208202	0.00105	0.00121	0	0	0	0	0.00209	0.00128	0	0	0.0021	0	0	0.0831037	0.00248	0	0	0	0	0	0.00108	0.010623	0.0026	0.9017611	0.00334	0	0.0076	0.00202	0.00323
Bosea_vaviloviae	0	0.0218496	0	0.1071243	0	0.00775	0.0127479	0	0.0119503	0	0.00964	0.0197375	0.0318085	0.1397749	0.00221	0.0337041	0.00205	0.0203698	0.00771	0.00467	0.0196309	0.00271	0.0813317	0.0184585	0.00858	0.00433	0.00971	0.00899	0.00825	0.1493397	0.0092	0.00369	0.0660429	0.0956636	0.00117	0.1775602	0.00876	0.0051	0.0032	0.00182	0.0143362	0.00744	0	0.0557707	0.0508846	0.00393	0.0265062	0.00521	0.00306	0.2451018	0.0120062	0.0161743	0.0730429	0.0167411	0.0366823	0.00104	0.00266	0.0575557	0.0033	0.00108	0.00111	0.00908	0.0100658	0.0612063	0.00498	0	0.0334021	0.00165	0	0.00721	0	0.00124	0.00248	0.0045	0.0117841	0.0260705	0.0155651	0.00114	0.00853	0.0054	0.00109	0.00161	0.00338	0.0037	0	0.0653269	0.00402	0.0013	0.00504	0.00295	0.00228	0.00496	0	0.0157399	0.0821881	0.0015	0	0	0	0.00418	0.00128	0.0613205	0.0717055	0.00735	0	0.00243	0.0677951	0	0.00408	0.00265	0.0349343	0.00223	0.00196	0.8249293	0.00266	0.0013	0.00265	0.0100117	0.0395838	0.00109	0.00404	0.0107556
Corynebacterium_testudinoris	0.0338524	0.0300432	0.0033	0	0	0.015509	0.00531	0.0131135	0.0119503	0.0166647	0.0428467	0.00423	0.00723	0.00595	0.0298957	0.016852	0.0041	0.00783	0.0231416	0.00933	0.00654	0.00541	0.00813	0.00336	0.0257363	0.00649	0.00647	0.0190992	0.0123824	0.00427	0.0092	0.0110816	0.0176114	0.0452037	0.1573028	0.0159964	0.0306748	0.00892	0.0048	0.0163779	0.00796	0.00319	0.0115906	0.0216886	0.00652	0.011795	0.0140327	0.0104117	0.0152886	0.00621	0.0200104	0.0350442	0.00843	0.00515	0.0122274	0.00104	0.00133	0.00857	0.0044	0.00868	0.00332	0.0218039	0.00671	0.00556	0.5701127	0.0404122	0.0357056	0.00825	0	0.0108204	0.00208	0.00743	0.00371	0.0146247	0.0265143	0.2932934	0.00566	0.00229	0.0136549	0.0615757	0.00437	0.00484	0.0151906	0.0129357	0.00349	0.00344	0.00402	0.0013	0.0100867	0.0900236	0.00912	0.00496	0.00505	0.2591843	0.0108778	0.0120001	0.0350333	0.00103	0	0.0146275	0.00384	0.0105725	0.00797	0.00105	0.0022	0.00485	0.0153086	0.0247838	0.3928491	0.0106129	0.0211723	0.00892	0.0490937	0.0107975	0.0185903	0.0052	0.00265	0.0100117	0.099525	0.00217	0.00606	0.0204356
Sphingopyxis_macrogoltabida	0.0273003	0.0450647	0	0.1909146	0.00358	0	0.0116856	0.00984	0.0324365	0.00476	0.0117829	0.0310161	0.0101209	0.3375414	0.00886	0.0468112	0.0041	0.0250705	0.00386	0.0139978	0	0.0541008	0.0108442	0.0453073	0.0171576	0.00649	0.0291234	0.0112348	0.0165098	0.4885542	0.0414117	0.00369	0.0770501	0.021025	0.00235	0.0607864	0.0175285	0.00255	0.0271848	0.00364	0.00478	0.00851	0.00129	0.0139427	0.0130473	0.2575242	0.166833	0.0104117	0.00917	0.0651537	0.006	0.0134785	0.0280934	0.0321945	0.0163032	0.00104	0.00665	0.0367377	0.0044	0.00108	0.00111	0.0145359	0.0385854	0.1001558	0.00996	0.0353607	0.0299467	0.00165	0.101498	0.00481	0.00104	0.00248	0.0099	0.0045	0.0294603	0.00978	0.00283	0.00114	0.00683	0.00864	0	0.00161	0.00506	0.0037	0	0	0.014082	0.0013	0.00883	0.0059	0.00912	0.012406	0.2473186	0.0209866	0.0181297	0	0	0	0	0.00418	0.00128	0.135328	0.0305412	0.0063	0.0022	0.00243	0.0590474	0.00496	0.00408	0.00531	0.027524	0.00223	0.00393	0.2213488	0.00531	0.0013	0.1432209	0.00334	0.0203574	0.00109	0.00606	0.00323
Corynebacterium_camporealensis	0.0163802	0.027312	0.0209283	0	0.0131293	0.00443	0.0201842	0.0109279	0	0.0452327	0.0460602	0.0140982	0.00578	0.0133827	0.00664	0.0411939	0.0184358	0.0219367	0.0334268	0.0233296	0.0196309	0.00541	0.00813	0.00503	0.0571919	0.0184007	0.0307414	0.0314575	0.0123824	0.0256011	0.0322091	0.025857	0.0660429	0.0609724	0.1232597	0.0048	0.0657318	0.0152987	0.0399776	0.0527733	0.019115	0.0127627	0.0515139	0.0340821	0.0104379	0.0275217	0.00936	0.0273306	0.0366928	0.0155128	0.0300156	0.0323485	0.0182607	0.00901	0.0448339	0.00209	0.00532	0.00857	0.0143134	0.0206092	0.00443	0.0163529	0.00503	0.0556421	0.2004108	0.0606183	0.0276431	0.00495	0.007	0.0324613	0.00623	0.0259936	0.00743	0.042749	0.0942729	0.1042821	0.0311302	0.008	0.0341373	0.0410505	0.0174921	0.00807	0.0405084	0.0443508	0.0244132	0.0086	0.0160937	0.0013	0.0252169	0.0546045	0.0136799	0.00868	0.015142	0.1511034	0.0157124	0.0465005	0.0300285	0.00103	0.00114	0.0334343	0.00512	0.0274885	0.0172624	0.0042	0.0044	0.0194085	0.0196825	0.0173486	0.2040775	0.0305121	0.0169378	0.0122626	0.0981875	0.0118773	0.0637382	0.0247132	0.010609	0.0500584	0.0361909	0.0119435	0.02424	0.0161334
Microbacterium_sp._PAMC_28756	0.0327604	0.00683	0.0110149	0	0.0429687	0	0.0180596	0	0.046094	0.021426	0.0117829	0.00705	0.0173501	0.0356872	0.0586841	0.0617908	0.00819	0.017236	0.0154277	0.0139978	0.0196309	0.0135252	0	0.00839	0.0200172	0.00758	0.0275054	0.0213462	0.0309559	0.0213342	0.0046	0.00369	0.0176114	0.0399474	0.0140868	0.0175961	0.035057	0.0216732	0.0016	0.00546	0.00319	0.00106	0.00515	0.0232378	0.2674704	0.011795	0.0171511	0.0039	0.0244618	0.00776	0.0180094	0.0323485	0.00562	0.00644	0.0163032	0.00209	0.00399	0.1102131	0.0022	0.00434	0.00111	0.0290719	0.00336	0	0.0286301	0.0858759	0.0380092	0.00165	0	0.0120227	0.00104	0.0099	0.00495	0.0258744	0.0559745	0.0260705	0.00708	0.00229	0.0341373	0.0583349	0.00109	0.00323	0.00675	0.00739	0	0.00516	0.0120702	0.0013	0.0353036	0.0383707	0.00684	0.5905268	0	0.0619104	0.0229643	0	0.005	0	0.00455	0.00104	0.00256	0.0116298	0.0252297	0.0063	0.0022	0	0.0131216	0.0123919	0.1020387	0.0331653	0.00953	0.0691162	0.00589	0.2515818	0.010623	0.0026	0	0.0200234	0.0452386	0.00434	0.00606	0.0107556
Pseudopropionibacterium_propionicum	0.0556927	0.020484	0.00771	0.0159095	0.00597	0.00775	0.0169972	0.00437	0.046094	0.00714	0.0407044	0.07895	0.0318085	0.0163566	0.125119	0.0337041	0.00819	0.0109683	0.0231416	0.0839866	0.0392619	0.00271	0.0650653	0.0151024	0.1201029	0.00974	0.0420671	0.0101113	0.0392108	0.0128005	0.0184052	0.0184693	0.0132086	0.021025	0.0164346	0.0111975	0.109553	0.0420714	0.0048	0.1783375	0.0302654	0.00213	0.00515	0.0139427	0.019571	0.00983	0.0124735	0.00651	0.0214041	0.0124102	0.0220114	0.0943498	0.0477588	0.00644	0.0203791	0.00209	0.0266071	0.0428606	0.0022	0.00759	0.00886	0.1435424	0.0654275	0.00556	0.0261405	0.0707214	0.0195805	0.00495	0.0035	0.0264499	0.00312	0.0111401	0.0148513	0.0213745	0.0441904	0.0325882	0.0353752	0.00572	0.0409647	0.0842615	0.00328	0.00807	0.0405084	0.0203275	0.0104628	0.00688	0.0462693	0.00522	0.0390861	0.00885	0.1413589	0.0161278	0.00505	0.0566638	0.00483	0.0255003	0.1826735	0.00103	0	0.0156723	0.00512	0.0243168	0.0305412	0.00525	0.0099	0.0315389	0.00875	0.0123919	0.0673456	0.00929	0.0127034	0.050165	0.086405	0.00972	0.0637382	0.0078	0.0053	0.0166861	0.0599412	0.019544	0.04848	0.055929
Corynebacterium_stationis	0.0240243	0.0259464	0.00661	0.00742	0.01671	0.0132935	0.0127479	0.0142063	0.0307293	0.0404714	0.0546296	0.00987	0.0187959	0.0163566	0.00443	0.0262143	0.00819	0.0235036	0.0861382	0.0233296	0.0458055	0.00541	0.00813	0.00336	0.0285959	0.0129887	0.0194156	0.0247166	0.00825	0.00853	0.0230065	0.025857	0.0330215	0.0904074	0.2042589	0.0032	0.0482033	0.011474	0.0127928	0.0272965	0.0111504	0.00638	0.0296205	0.0263362	0.0104379	0.0196583	0.00156	0.0195218	0.033635	0.00931	0.0320166	0.045827	0.00983	0.00773	0.0122274	0.00209	0.00266	0.00612	0.00551	0.0108469	0.00332	0.010902	0.0100658	0.00556	0.3522748	0	0.0287949	0.0115487	0.0035	0.0348658	0.00208	0.0111401	0.00619	0.0146247	0.0972189	0.2215994	0.00566	0.00457	0.0153618	0.0518532	0.00984	0.00484	0.0455719	0.0184795	0.0191818	0.00516	0.0100585	0.00261	0.1084325	0.0649351	0.00228	0.00372	0.00252	0.1857312	0.020547	0.0240002	0.0125119	0	0	0.0125379	0.00256	0.012687	0.00797	0.00315	0.0055	0.0121303	0.0240563	0.00991	0.2061182	0.00929	0.0116448	0.00334	0.0530212	0.0054	0.0345249	0.0130069	0.00265	0.0367095	0.0429767	0.00434	0.0101	0.0118311
Paracoccus_aminophilus	0	0.0191184	0.00661	0.0286372	0.0155165	0.0265869	0.0148726	0.0142063	0.0153647	0.014284	0.0203522	0.0761303	0.00578	0.0148697	0.0719711	0.0149796	0.0041	0.4136634	0.0115708	0.00467	0.0458055	0.00541	0.00271	0.0570537	0.0257363	0.024895	0.0258875	0.00674	0.0206373	0.1194718	0.0230065	0.00739	0.0264172	0.1724047	0.0047	0.1055764	0.0262927	0.0229481	0.0127928	0.00546	0.0143362	0.0861482	0.00386	0.1797057	0.0273994	0.00983	0.0592491	0.00911	0.0122309	0.0651537	0	0.01887	0.1812027	0.01159	0.0122274	0.00209	0.0146339	0.122459	0.0022	0.00108	0.00111	0.0236209	0.00336	0.0612063	0.0112031	0.0454637	0.0253395	0.0033	0.0035	0.00842	0	0.00248	0.00248	0.009	0.0117841	0.0456234	0.00283	0	0.011948	0.0129633	0.00109	0	0.00338	0.0277193	0.00523	0	0.0362107	0.0013	0.0138693	0.0103306	0.00456	0.0161278	0.00505	0.0293812	0.0229643	0	0.00751	0	0.00114	0.017762	0.00128	0.1194693	0.0504594	0.0021	0.0011	0.00243	0.0568604	0.00744	0.013265	0.00663	0.0148206	0.010033	0.00982	0.112294	0.00266	0.0013	0.00265	0.0100117	0.0689889	0.00326	0.00202	0.0086
